question,faithful
"My customers are unable to complete orders with the message ""Sorry, we are not accepting orders."" I am using cash on delivery as the payment method and do not have a premium plan. If I want to receive manual payments, do I have to buy a plan?",1
"My emails sent through Wix Email Marketing are being marked as spam or not received by clients, leading to delivery issues.",1
"My old website pages are still showing on Google despite updating the SEO. I have already tried removing the old URLs and submitting the updated sitemap to Google, but the issue persists.",0
"My Premium plan auto-renewed, and Im seeking a refund. The renewal occurred within the last 14 days, so I may be eligible for a refund.",1
My site is unable to provide a secure connection.,1
My website does not appear in search engine results. I need help with indexing and optimizing my site's SEO to ensure it gets listed.,1
"My website stopped working, and I received a DNS_PROBE_FINISHED_NXDOMAIN error. I havent made any changes to the domain, and its connected to Wix. I also encountered an error with ID 7809 and the opcode QUERY.",1
"My Wix Payments account verification documents have been denied, specifically the company details.",1
Potential clients are unable to book a tour on my website due to the current plan limitations. I received an email stating that I need to upgrade to a Wix Business & eCommerce Premium Plan to enable bookings.,1
The picture on my mobile site is dark. Its a standalone image that was carried over from my desktop site. I need guidance on adjusting the image settings for my mobile site.,1
The user is inquiring about connecting Google Analytics 4 with their Wix site.,1
The user is inquiring about how the billing works with Google Ads.,0
I would like to know how to sell products on my site,0
User is inquiring about adding more menu titles to show in the header on their website.,1
User is inquiring about setting up the website to require an account for placing orders.,1
User is requesting assistance with adjusting the menu layout on the mobile site.,1
I am experiencing issues with fonts not displaying correctly on the mobile version of my website. The fonts I am using are default fonts provided by Wix.,1
Can I get information about the 2-step methods verification on Wix?,1
I need help adding new bank details to Wix Payments.,0
I would like to know how to change my payment provider for my Wix site after funds have been sent for an order.,0
I am not satisfied with the product and would like to request a refund for my Google Ads campaign.,0
"I am trying to cancel my Premium subscription within the 14-day period, but I cant find the cancel feature.",1
"I need help enabling customers to purchase multiple quantities of the same product at a discounted rate. For example, ""Buy 3 hats, get 20% off"".",1
I need to know how to reinstall the blog app to improve the loading issue on Wix.,0
"I need help with our Google Ads campaign. I cant see our paid ad in the campaign list and Im wondering if it will appear after its been reviewed. Also, I want to know if the payment for our campaign will be automatically deducted from our credit card or if we need to top up the credit.",1
How can I rename web links?,0
"I tried updating the picture that shows up when sharing my website link, but it didnt work.",1
I want to know how to go back to the history of my Wix site.,0
I need to know how to clear my browser cache.,1
Im having an issue with changing the name of a menu item on my site using the Wix Editor.,0
I need to know how to transfer the edited page from the copy version of my site to the original version.,0
Im having trouble removing a lightbox I added for subscriptions in the Wix Editor.,1
I accidentally erased something in the Wix Editor and I need to add it back on.,1
Im trying to connect my business Instagram account to my Wix site.,1
I want to update the Wix Editor to the new Wix Studio Editor.,1
I want to know if theres a way to hide a page on my website but still send a link for people to access it.,1
I want to make a duplicate version in the dashboard of my site for testing and trying new things.,1
I need to block access to my website from countries other than the UK. Can you provide information on how to achieve this?,1
I need help setting up an email for website messages to go to instead of mine.,1
I need help with switching my websites template to a new design.,1
I need help putting an anchor on a page using the Wix Editor.,1
I accidentally deleted a photo from the Wix Editor and lost all my work. Im still in the editor and dont know how to undo the deletion.,0
"I created a website using the Wix Editor, but it’s not responsive.",1
"I'm trying to copy a gallery page with pictures from one Wix site to another using the Wix Editor. The paste option appears, but the images do not transfer, and I do not get an option to upload the images.",1
Im having trouble connecting my Instagram business account to my Wix site. The instructions are saying to clear cookies if there are issues.,1
I'm experiencing slow performance and unresponsive pages in the Wix Editor. How do I open my browser in incognito mode to troubleshoot this issue?,1
Im experiencing a 404 error when trying to access my store page. It occurs on multiple platforms and with other users.,0
I want to know how to transfer the edited page from the copy version to my original site without overwriting the original page.,1
"Im experiencing an issue with my image on the website. When I try to resize it, the image gets cut off and then multiplies.",1
"Im encountering an Error 403 ""We Looked Everywhere For This Page"" while trying to modify my website.",1
Im having trouble adding a page to the horizontal menu on my website.,1
I want to change the preview picture that shows when using my URL.,1
I want to use pre-set Wix website designs.,1
Im having trouble adjusting the page height in the Wix Editor for a page without a footer. The section will not moving as expected.,1
Im having trouble adding content to a repeater in the Wix Editor. I need assistance with this issue.,0
"My website displays correctly on PC and smartphone, but not on a tablet. The words on the page are off the screen.",1
I am struggling with adjusting section heights in the Wix Editor. I need assistance with this issue.,0
How can I use the Toolbar and Layers Panel in the Wix Editor to adjust the positioning of my images?,1
I want to undo the latest change in my site design.,0
I want to unpublish my site on Wix using the Wix Editor.,1
"Im having trouble changing the browser tab title on my live site. I followed the steps provided, but its still not working.",0
I need help adding a button with a link in the Wix Editor.,1
Im using the Wix website editor and Im experiencing free space on the edges of my site on larger screens. I need to understand why this is happening and how to correct it.,1
I would like to change the text size.,1
I am inquiring about the steps to publish my website in the real world.,1
How can I edit a published website?,1
Im experiencing unwanted gaps at the bottom of my page when I publish it on the desktop version using the Wix Editor.,0
I need info on third-party POS solutions that would work for businesses in the UK.,1
I would like to know how to set up all available POS solutions in the UK,1
"I am unable to open the Wix Editor on Google Chrome, even in incognito mode. This issue persists across different devices.",0
"Hey! I finished the ""Verifying Your Site with Google Search Console"" steps, but the ""Connect site to Google Chrome Console"" in the SEO Setup Checklist is still showing as incomplete.  Any ideas on what to do?


",1
"Hey! I finished the ""Verifying Your Site with Google Search Console"" steps, but my site isn’t showing up in Google searches, even for specific queries, and I’ve checked that it’s indexed and can be crawled. Any ideas on what to do?
",0
How can I get a printed receipt for Wix Mobile POS.,0
I need to update the inventory for over 100 product selections with 3 different options each.,1
I want to completely remove the login bar and anything associated with it from my site.,1
How can I set up a flat rate shipping fee in Wix Stores.,1
Im experiencing issues with the mobile view of my site. Elements are misplaced and some are overlapping.,1
I need to connect the elements on my dynamic item page to the correct fields in my CMS collection. Im looking for guidance on how to do this in Editor.,1
I need to know how to prevent an item in my CMS collection from being published to my website before its completed while using the Wix Editor.,0
"Im having trouble getting my dynamic list page to show items alphabetically on the published site, even though I have set up the sort conditions in the dataset settings.",1
"Im having trouble with my URL not indexing on Google. The URL inspection says the URL is available to Google and can be indexed, but its still not indexing.",0
How users can check my calendar on the website?,0
I want to know how to set up a table and connect it to my collection in Wix Studio.,1
I want to add and format text in a Rich Text field in the CMS.,1
Im looking for the autoplay toggle for a video.,0
I want to create a new domain name and website with Wix.,1
I want to customize the email template for my thank you emails in automations.,0
Im experiencing an issue with a strangely large space between the footer and the bottom of the page that cannot be fixed.,1
Im having trouble removing the collapsible text in the Wix Editor. I need help with identifying the Layers icon.,1
"Im having trouble updating a PDF on my website using the dashboard CMS. After replacing the PDF in the collection, it doesnt update on the website. I need guidance on enabling sandbox collections and syncing them with live collections to resolve this issue.",1
How does the pricing for Google Ads work?,0
I want to retry a subscription payment using the same card.,1
My website isnt showing up on Google. I checked if its indexed and nothing showed up. I need help with allowing search engines to index my site and submitting my sitemap to Google.,1
Im having trouble verifying my business Wix Account to receive payments. The error message says my company couldnt be verified based on the Company number I provided. Its asking me to re-enter the Company number and upload a matching company document.,0
I need to grant a developer access to our Wix site to integrate the Beam payment method. Im unsure about the specific permissions I should grant to ensure the sites safety.,0
Im having trouble resizing the image and adding text to a new section I added to my site on Wix editor.,1
Im having a glitch on my site where the text on one of my menu items wont update.,0
I want to start a new website design from scratch using the Wix Editor.,1
Im trying to remove a menu from the header of my Wix site.,0
How to make the published changes draft?,1
how can i connect google reviews to website,1
how to remove a gap on the mobile site version between the logo and elements below it,1
How can I save a lightbox for next year?,0
"WHAT is full form of cms, and benefits",1
Can I get a refund for the domain I purchased yesterday?,1
How can I access analytics as a collaborator on a Wix site?,1
I bought two domains I want to cancel one of them,0
can you change the text for the service descriptions,1
How do I show a client we have issued a refund,0
Can I migrate a site from the Wix Editor to the Studio Editor?,0
not getting notifications when store orders are placed,0
How can I cancel my Wix Premium Plan - Light and get a refund?,1
How can I redirect users to the website language based on their geographic location?,0
how to reorder plan options during checkout in Wix,1
how to take my site off live,1
How can I ensure my website www.momsroots.com is published on Google and indexed by search engines?,1
how can I change my Wix account email address,1
how to cancel both site plan and domain after already paying,1
I can't see how to edit my website,1
how can I change my plan type from a multi-year cycle to a yearly plan,1
How can I cancel my premium subscriptions and request a refund for a renewal purchase?,1
how to add a card to Wix account,1
How can I preview my dynamic pages and see how they connect to the buttons?,1
I need help adding a picture to my lightbox background,1
Can I get a refund on a domain purchase?,1
how to edit the book a room,1
how can the web hosting be removed from the plan and just keep the domain name plan,0
how to edit texts of each language on a Wix site,1
how to unpublish a Wix site,1
How to shorten or narrow a hover box and make a slanted text box horizontal in Wix Editor,0
I want to turn off post approval for my forum,0
how to add animation to all images in a slider,0
Can work be saved when a participant is in an online course?,0
How can I connect my GoDaddy domain to Wix quickly?,0
i want to cancel my domain but i am unable to do it,1
do I have to give my login to a website designer to work on my site,0
how to change DNS configuration in Wix for email forwarding with Squarespace,0
How can I change the font color of the dropdown menu on my desktop site using the Wix Editor?,1
Can I use last year's tax return for the verification process of my Wix Payments account until I receive the letter of determination from the IRS?,0
What are the refund policies for domain purchases?,0
How can I assign a premium subscription to a different site?,0
How can I add an MX record to Wix for a domain connected via name servers?,1
how can I connect my Squarespace domain to Wix,1
"can i temporarily unpublish my website and stop billing, then access it later",1
need to purchase another email address from Wix,0
can I extend my current contract to be a month longer,1
how to double-check that my website is pointing correctly,1
I need to rename a Wix file with an inappropriate name. The provided instructions were ghastly.,1
I have problems with my business email not being directed to my Gmail. How can I fix it?,1
how to cancel premium,1
How can I disconnect my domain name from Wix?,0
I ordered a premium account for the wrong domain. Can I please change it to the right one?,1
how to remove card details from Wix account,1
how to edit the cart page in a Wix store,1
"Why is the UI in the tutorial different from mine, and what is the Wix Studio Editor?",1
How can I make my booking hours live for the public on my site?,1
how to get the same view for mobile and desktop website,1
how to set up offline payments for invoices on Wix,0
how to report someone infringing on copyright,1
how can I cancel my domain renewal plan on Wix,1
why are some people who fill out a form listed as subscribe and unsubscribe,0
how can I update the payment method for my premium plan after being charged on the wrong credit card,1
how to remove an automatic discount code from a product in a Wix shop,0
how to insert images in a slide,1
how to remove preset social media icons and a statement from a program section in the Wix Editor,1
Connect my domain to external site,1
how to change search bar from tile to description,0
I want to know how to add a full PDF to my portfolio site,1
how can we accept payments as a college council that is not a registered business,0
Why is VAT not included on my Wix bill in the UAE?,1
i want to transfer my google workspace account from wix to myself,1
how can I cancel my Premium or Studio subscription plan,0
i am unable to connect my email to my website,1
how to transfer a business email away from Wix,1
How can I find missing DNS records after migrating to a new website?,0
how can I reduce the price of a one-time payment plan,0
how do I delete a page from my Wix site when delete is not an option,0
How do I make an image smaller on my mobile site when I can't crop it?,1
how to switch my domain connection to pointing from Wix to another host,1
How can I upgrade my Wix plan?,1
What are the refund policies for Wix Premium or Studio plans?,1
I have reduced the number of business email users and need to update my billing for the yearly email subscription.,0
Can I migrate a site from the Studio Editor to the Wix Editor?,1
I would like a refund on my domain purchase. I do not want this domain. I want it removed from my account and a refund issued.,1
i wish to cancel a plan,1
how to handle multiple bookings for same registrant,0
how to remove one seat from Google Workspace and update billing,0
How can I allow users to enter the amount they want to pay on my Wix website?,1
how to cancel a Wix account,1
How can I change the entire page to show a family setting in Wix Editor?,0
I would like to cancel my premium membership and get a refund,1
how to see my website ip address,1
how to add more static pages to a Wix website,0
is it possible to have AI design my site even though I'm also working on a design? can it be done non-destructively?,1
my customer wants to buy a gift card and other products as one purchase. how do they do that?,0
How do I access the dashboard to my live website,1
how to cancel a Wix Premium plan,1
can I get the invoice re-issued with the correct address,1
where and how to place a code in DNS for setting up email purchased from Wix,1
Can I get a refund for the domain I bought by mistake (c-gw-art-studio.com)?,1
What should I do if I'm having issues making a payment for a Wix service?,0
"how to delete a picture off the contact page and add a new one, and help with slideshow in the Wix Editor",1
how should I disable text selection and copy paste from my website,0
can I buy a premium plan but build my website on other platforms,0
Can I apply a promotion to my existing Core Plan?,1
I would like to cancel my domain order and get a refund because I ordered it by mistake.,0
Is domain privacy included in the price of purchasing the domain and the yearly charge?,1
Why is the video not playing sound even when sound is enabled?,1
how to cancel and request a refund for a renewal purchase,1
i want to change my plan,0
Can we update both GST rates according to the product in Wix Stores?,0
how do I connect Wix Stores to Shippo app,0
can I request a refund for a Wix domain purchase,1
I want to use a button that people can click and it will reveal info without linking to another page,1
how can I request a refund for Premium or Studio plans,1
how to resend an email marketing campaign to a specific group,0
How can I get a refund for a renewal payment I did not want to renew?,1
How can I have the customer's physical address automatically appear on invoices generated from orders?,1
How can I lower the number of email accounts on my Wix account?,0
when booking again can I see times that are already taken,1
how long does it take for my website to go live/be accessible?,1
How can I change the MX email server in my Wix account?,1
how do i cancel my ezchamps VIP Premium plan?,1
"I recently moved my website to wix.com and updated the DNS records, but I get an error message when trying to connect. What should I do?",1
I transferred my site to the wrong email address. How do I cancel the transfer?,1
how to change on checkout page the telephone number that customer is putting,1
how do I link a button to the users member page without linking to a dataset,0
how can I find my domain information purchased from Wix,1
How can I remove my credit card information entirely from my Wix account?,1
how to disconnect a Google Developer account from a Wix mobile app,1
How do I know if I have paid for Wix to host my site?,1
how to reorder my product catalogue in Wix Stores,0
Could I get a reimbursement for a plan renewal I have now cancelled?,1
How can I request a refund for a Wix website renewal purchase?,1
I would like to delete my webpage and leave Wix.,1
Can you offer me any discounts for Wix hosting?,0
How can I make my image fit in the space correctly on my homepage in Wix Editor?,1
can I update my invoice after changing the site name,1
how can I switch from AI-generated site to custom,1
i cant create a new gallery in my website. it only refers to portfolio templates,0
how to make a Google Drive document accessible without requiring a Google login,1
how to check if domain is properly connected,1
how do you scroll sections over other sections,1
I need to cancel my subscription,0
i want to cancel a business email,0
How do I get notified of purchases,1
how can I purchase additional business emails with a specific domain,1
is there a way to add a consent form under contacts and save it for each person,1
Can Wix help contact the owner of a domain registered with them?,0
How can I change my Premium plan on Wix?,1
how can i delete a copy site,0
I would like to cancel domain and get the refund,1
how can I delete my shop and cancel my plan,0
how can I download all my ebooks as digital products from my Wix Store,1
how can I get my invoices for services paid for at Wix,0
how to cancel a payment for a Wix Premium plan,1
How can I connect elements to my dataset in Wix?,0
how can I rename my existing Wix site,1
how do I connect my existing business email to my website,1
How do I remove the ribbon from one plan on the plan card list?,0
how to remove a payment method,1
how do I move the language bar on mobile view,1
how to stop email notifications for bookings even after turning them off,1
"I paid a premium subscription to a different website than I wanted, can I reassign it to the correct one?",1
I have just been charged due to auto-renewal and want to cancel this payment for a Wix site plan,1
how do I unsync and resync my Google Calendar with Wix Bookings,1
how to delete an entire Wix site,1
How can I forward a domain I purchased to a specific page on my existing domain?,1
How can I migrate from the Wix Editor to the Wix Studio Editor?,1
how can I renew my Premium plan subscription and get a new invoice for a refund error,0
How can I offer free shipping for a sample option of a product while the main product does not have free shipping?,0
Hi I would like to install blog,1
What will I lose from moving from a Business plan to a Core plan?,0
I need to delete a business email address that is no longer in use and change my Wix account email back to the original one,0
i cant see a visual representation of a page on my site in the Wix Editor,0
how to shut down a website,1
What's the difference between 'site sessions' and 'unique visitors'?,1
How do I move the premier plan to the site I want?,1
show me how to add a make profile public option when signing up,0
How do I verify my DNS records now that I have transferred my domain to Wix?,0
is there no way to get a domain name and set up a simple website for free,1
"I am unable to manually add a site member to a private group on the Wix dashboard without sending an invitation. I tried making the group public temporarily and adding the member, but it did not work.",0
I need to update my account payment information,0
Can guests post or upload content on a Wix site without being members?,0
how to direct a Wix domain back to a Wix site from Squarespace,1
how to reconnect a domain without affecting email after accidentally changing the CNAME record,0
how long will it take to approve my number after I resubmit my registration,1
how to update my last name in Wix bills and domain contact information,1
how to apply an upgraded plan to the correct domain,0
can I get a refund on the domain,1
I need help getting an extension on my payment date for my Wix premium subscription,0
where can I find the directory of Wix partners by country location language,1
"If I cancel my subscription will I get a refund, like Wordpress does?",1
how can I downgrade my email plan and pay for one email instead of two,1
Can I get a refund for a domain purchased through Wix?,1
I would like to do a refund on the website,0
do you provide SEO services to websites not hosted on Wix,1
how do i transfer ownership of a website in wix,1
how can I get my domain refunded,1
